Disease,Diet,Diet_Hindi
Fungal infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['एंटिफंगल आहार', 'प्रोबायोटिक्स', 'लहसुन', 'नारियल तेल', 'हल्दी']"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['एलिमिनेशन डाइट', 'ओमेगा-3 से भरपूर भोजन', 'विटामिन C से भरपूर भोजन', 'क्वेरसेटिन से भरपूर भोजन', 'प्रोबायोटिक्स']"
GERD,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['कम अम्ल वाला आहार', 'फाइबर से भरपूर भोजन', 'अदरक', 'मुलेठी', 'एलोवेरा जूस']"
Chronic cholestasis,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['लो-फैट डाइट', 'हाई-फाइबर डाइट', 'कम वसा वाला प्रोटीन', 'साबुत अनाज', 'ताजे फल और सब्ज़ियाँ']"
Drug Reaction,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['एंटीहिस्टामिन डाइट', 'ओमेगा-3 से भरपूर भोजन', 'विटामिन C से भरपूर भोजन', 'क्वेरसेटिन से भरपूर भोजन', 'प्रोबायोटिक्स']"
Peptic ulcer disease,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['कम अम्ल वाला आहार', 'फाइबर से भरपूर भोजन', 'अदरक', 'मुलेठी', 'एलोवेरा जूस']"
AIDS,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['संतुलित आहार', 'प्रोटीन से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'स्वस्थ वसा']"
Diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['लो-ग्लाइसेमिक डाइट', 'फाइबर से भरपूर भोजन', 'कम वसा वाला प्रोटीन', 'स्वस्थ वसा', 'लो-फैट डेयरी']"
Gastroenteritis,"['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['सादा भोजन', 'केला', 'चावल', 'सेब की चटनी', 'टोस्ट']"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['एंटी-इंफ्लेमेटरी डाइट', 'ओमेगा-3 से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम वसा वाला प्रोटीन']"
Hypertension,"['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['डैश डाइट', 'कम नमक वाला भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम वसा वाला प्रोटीन']"
Migraine,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['माइग्रेन डाइट', 'लो-टायरामाइन डाइट', 'कैफीन छोड़ना', 'पानी पीना', 'मैग्नीशियम से भरपूर भोजन']"
Cervical spondylosis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['आर्थराइटिस डाइट', 'एंटी-इंफ्लेमेटरी डाइट', 'ओमेगा-3 से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज']"
Paralysis (brain hemorrhage),"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['हृदय-स्वास्थ्य डाइट', 'कम नमक वाला भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम वसा वाला प्रोटीन']"
Jaundice,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['जिगर-स्वास्थ्य डाइट', 'लो-फैट डाइट', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम वसा वाला प्रोटीन']"
Malaria,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['मलेरिया डाइट', 'पानी पीना', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'ओआरएस घोल']"
Chicken pox,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['चेचक डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Dengue,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['डेंगू डाइट', 'पानी पीना', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'प्रोटीन से भरपूर भोजन']"
Typhoid,"['Typhoid Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['टाइफाइड डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
hepatitis A,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['हेपेटाइटिस A डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Hepatitis B,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['हेपेटाइटिस B डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Hepatitis C,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['हेपेटाइटिस C डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Hepatitis D,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['हेपेटाइटिस D डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Hepatitis E,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['हेपेटाइटिस E डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Alcoholic hepatitis,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['जिगर-स्वास्थ्य डाइट', 'लो-फैट डाइट', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम वसा वाला प्रोटीन']"
Tuberculosis,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['टीबी डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Common Cold,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['जुकाम डाइट', 'पानी पीना', 'गर्म तरल पदार्थ', 'आराम करना', 'शहद और नींबू की चाय']"
Pneumonia,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['निमोनिया डाइट', 'उच्च कैलोरी वाला आहार', 'सादा और हल्का भोजन', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
Dimorphic hemmorhoids(piles),"['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners']","['बवासीर डाइट', 'हाई-फाइबर डाइट', 'पानी पीना', 'गुनगुने पानी से स्नान', 'स्टूल सॉफ़्टनर']"
Heart attack,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['हृदय-स्वास्थ्य डाइट', 'कम नमक वाला भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम वसा वाला प्रोटीन']"
Varicose veins,"['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods']","['वैरिकोज नसें डाइट', 'हाई-फाइबर डाइट', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम नमक वाला भोजन']"
Hypothyroidism,"['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","['हाइपोथायरॉयडिज्म डाइट', 'आयोडीन से भरपूर भोजन', 'सेलेनियम से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज']"
Hyperthyroidism,"['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['हाइपरथायरॉयडिज्म डाइट', 'लो-आयोडीन डाइट', 'कैल्शियम से भरपूर भोजन', 'सेलेनियम से भरपूर भोजन', 'फल और सब्ज़ियाँ']"
Hypoglycemia,"['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['हाइपोग्लाइसीमिया डाइट', 'जटिल कार्बोहाइड्रेट', 'प्रोटीन वाले स्नैक्स', 'फाइबर से भरपूर भोजन', 'स्वस्थ वसा']"
Osteoarthristis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['आर्थराइटिस डाइट', 'एंटी-इंफ्लेमेटरी डाइट', 'ओमेगा-3 से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज']"
Arthritis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['आर्थराइटिस डाइट', 'एंटी-इंफ्लेमेटरी डाइट', 'ओमेगा-3 से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज']"
(vertigo) Paroymsal Positional Vertigo,"['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods']","['वर्टिगो डाइट', 'लो-सॉल्ट डाइट', 'पानी पीना', 'अदरक की चाय', 'विटामिन D से भरपूर भोजन']"
Acne,"['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['मुँहासे डाइट', 'लो-ग्लाइसेमिक डाइट', 'पानी पीना', 'फल और सब्ज़ियाँ', 'प्रोबायोटिक्स']"
Urinary tract infection,"['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']","['मूत्र संक्रमण डाइट', 'पानी पीना', 'क्रैनबेरी जूस', 'प्रोबायोटिक्स', 'विटामिन C से भरपूर भोजन']"
Psoriasis,"['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['सोरायसिस डाइट', 'एंटी-इंफ्लेमेटरी डाइट', 'ओमेगा-3 से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज']"
Impetigo,"['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']","['इंपेटिगो डाइट', 'एंटीबायोटिक उपचार', 'फल और सब्ज़ियाँ', 'पानी पीना', 'प्रोटीन से भरपूर भोजन']"
